Tipo,Referencia,Carrier,Codigo,Monto,Resultado,TransID,Folio,Status,Error
Recarga,5555555505,Telcel,TEL010,10,Consulta Exitosa,260501706296,,,
Recarga,5555555510,Telcel,TEL050,50,Consulta Exitosa,260501706297,,,
Recarga,5555555515,Telcel,TEL100,100,Consulta Exitosa,260501706301,,,
Recarga,5555555520,Telcel,TEL150,150,Consulta Exitosa,260501706302,,,
Recarga,5555555525,Telcel,TEL200,200,Consulta Exitosa,260501706304,,,
Recarga,5555555530,Movistar,MOV010,10,Consulta Exitosa,260501706306,,,
Recarga,5555555540,Movistar,MOV050,50,Consulta Exitosa,260501706310,,,
Recarga,5555555560,Movistar,MOV100,100,Consulta Exitosa,260501706316,,,
Recarga,5555555565,Movistar,MOV120,120,Consulta Exitosa,260501706321,,,
Recarga,5555555200,Movistar,MOV150,150,Tabla de transacciones llena,,,,3129
Servicio,871235412635,SKY,SKY000,95,Consulta Exitosa,260501706343,,,
Servicio,6589745213,TELMEX,TMX001,100,Consulta Exitosa,260501706351,,,
Servicio,125478965412365478965230126654,CFE,CFE000,260,Consulta Exitosa,260501706366,,,
Servicio,9854123547,MEGACABLE,MEG000,131,Consulta Exitosa,260501706378,,,
Servicio,27458965324125,DISH,DSH000,103,Consulta Exitosa,260501706396,,,
Servicio,3456987,MAXCOM,MAX000,177,Consulta Exitosa,260501706405,,,
